"","generation","year","sex","suicide_rate"
"183","Millenials",2011,"female",4.12494186046512
"184","Millenials",2011,"male",14.9155813953488
"185","Millenials",2012,"female",4.11253086419753
"186","Millenials",2012,"male",15.0310493827161
"187","Millenials",2013,"female",4.0840625
"188","Millenials",2013,"male",14.905125
"189","Millenials",2014,"female",4.14032051282051
"190","Millenials",2014,"male",14.2587179487179
"191","Millenials",2015,"female",3.83088709677419
"192","Millenials",2015,"male",14.0541129032258
"193","Silent",1990,"female",6.23109375
"194","Silent",1990,"male",21.719375
"195","Silent",1991,"female",8.72046875
"196","Silent",1991,"male",24.15171875
"197","Silent",1992,"female",9.06646153846154
"198","Silent",1992,"male",25.1290769230769
"199","Silent",1993,"female",8.55153846153846
"200","Silent",1993,"male",25.9743076923077
"201","Silent",1994,"female",8.07514705882353
"202","Silent",1994,"male",26.4230882352941
"203","Silent",1995,"female",8.54948717948718
"204","Silent",1995,"male",30.5203846153846
"205","Silent",1996,"female",8.32675324675325
"206","Silent",1996,"male",30.9592207792208
"207","Silent",1997,"female",7.66142857142857
"208","Silent",1997,"male",29.9537662337662
"209","Silent",1998,"female",7.40139240506329
"210","Silent",1998,"male",30.7949367088608
"211","Silent",1999,"female",7.62927710843373
"212","Silent",1999,"male",29.1495180722892
"213","Silent",2000,"female",7.62348837209302
"214","Silent",2000,"male",27.4390697674419
"215","Silent",2001,"female",8.92215909090909
"216","Silent",2001,"male",32.7505113636364
"217","Silent",2002,"female",8.91267441860465
"218","Silent",2002,"male",34.1261627906977
"219","Silent",2003,"female",8.1981976744186
"220","Silent",2003,"male",32.8512790697674
"221","Silent",2004,"female",7.81375
"222","Silent",2004,"male",30.8480952380952
"223","Silent",2005,"female",7.62535714285714
"224","Silent",2005,"male",29.7414285714286
"225","Silent",2006,"female",7.16729411764706
"226","Silent",2006,"male",30.2550588235294
"227","Silent",2007,"female",7.81953488372093
"228","Silent",2007,"male",29.7145930232558
"229","Silent",2008,"female",7.55211764705882
"230","Silent",2008,"male",29.1972941176471
"231","Silent",2009,"female",6.74387640449438
"232","Silent",2009,"male",27.9587640449438
"233","Silent",2010,"female",6.38721590909091
"234","Silent",2010,"male",27.8280681818182
"235","Silent",2011,"female",6.69709302325581
"236","Silent",2011,"male",32.0061627906977
"237","Silent",2012,"female",7.04271604938272
"238","Silent",2012,"male",34.3997530864198
"239","Silent",2013,"female",6.774
"240","Silent",2013,"male",32.004125
"241","Silent",2014,"female",7.20051282051282
"242","Silent",2014,"male",33.98
"243","Silent",2015,"female",7.81935483870968
"244","Silent",2015,"male",34.1153225806452
